iter	RMSE	R2
803	114.8209093	0.9684767756
804	114.8160226	0.9684794587
805	114.7433859	0.9685193281
806	114.7355952	0.9685236029
807	114.7320522	0.9685255468
808	114.6484928	0.9685713758
809	114.6082136	0.9685934554
810	114.5251072	0.9686389869
811	114.4593488	0.9686749904
812	114.3449175	0.9687375938
813	114.3134445	0.9687548011
814	114.2504923	0.9687892051
815	114.2009639	0.9688162594
816	114.1839265	0.9688255631
817	114.1366511	0.968851372
818	114.1019281	0.9688703214
819	114.0600488	0.9688931685
820	113.9371002	0.9689601942
821	113.7470902	0.9690636365
822	113.6702418	0.9691054241
823	113.593976	0.9691468669
824	113.515259	0.9691896126
825	113.271172	0.9693219706
826	113.185109	0.969368571
827	113.1302399	0.9693982624
828	113.0867369	0.969421793
829	113.0334193	0.96945062
830	112.9955852	0.9694710672
831	112.8658834	0.9695411122
832	112.8540819	0.9695474816
833	112.7962648	0.9695786763
834	112.7514233	0.9696028591
835	112.7020757	0.9696294609
836	112.6806416	0.9696410118
837	112.6218866	0.9696726637
838	112.5824404	0.9696939045
839	112.4912557	0.9697429767
840	112.429063	0.9697764237
841	112.409764	0.9697867988
842	112.4059356	0.9697888568
843	112.3663545	0.9698101293
844	112.3376074	0.9698255745
845	112.2518215	0.9698716419
846	112.1759693	0.9699123456
847	112.1488843	0.9699268732
848	112.1229666	0.9699407715
849	112.1082513	0.969948661
850	112.0469131	0.9699815363
851	111.9934121	0.9700101963
852	111.9058838	0.9700570549
853	111.7645865	0.9701326218
854	111.7385043	0.9701465603
855	111.6874992	0.9701738084
856	111.6716576	0.9701822688
857	111.6260592	0.9702066145
858	111.6023813	0.9702192526
859	111.5185385	0.9702639821
860	111.4946135	0.9702767398
861	111.4770821	0.9702860864
862	111.4415528	0.9703050239
863	111.3260106	0.9703665673
864	111.3198687	0.970369837
865	111.2307484	0.9704172605
866	111.1362016	0.9704675301
867	111.103806	0.9704847447
868	111.0589977	0.970508547
869	110.9801506	0.9705504075
870	110.9652947	0.9705582913
871	110.8858319	0.9706004428
872	110.8395645	0.9706249718
873	110.8089592	0.9706411918
874	110.7673791	0.9706632209
875	110.7395159	0.9706779782
876	110.632996	0.9707343606
877	110.5788981	0.9707629745
878	110.3896981	0.9708629377
879	110.3670064	0.9708749154
880	110.3489881	0.9708844244
881	110.2730407	0.970924488
882	110.2222722	0.970951254
883	110.1703522	0.9709786142
884	110.1500536	0.9709893075
885	110.1019868	0.9710146211
886	110.0260343	0.9710545977
887	109.9883637	0.9710744149
888	109.9479398	0.971095673
889	109.8643667	0.9711395975
890	109.811244	0.9711675005
891	109.7942927	0.9711764014
892	109.749729	0.9711997947
893	109.6946598	0.9712286896
894	109.6326381	0.9712612152
895	109.5604456	0.9712990514
896	109.5180712	0.9713212483
897	109.501581	0.971329884
898	109.4575978	0.9713529111
899	109.4077362	0.9713790046
900	109.3732317	0.9713970544
901	109.3297296	0.9714198029
902	109.3126848	0.9714287137
903	109.2479665	0.9714625348
